re78	t	black	hisp	age	married	nodegree	educ	re74	u74	re75	u75
9.93005	1	1	0	37	1	1	11	0	1	0	1
3.59589	1	0	1	22	0	1	9	0	1	0	1
24.9095	1	1	0	30	0	0	12	0	1	0	1
7.50615	1	1	0	27	0	1	11	0	1	0	1
.28979	1	1	0	33	0	1	8	0	1	0	1
4.05649	1	1	0	22	0	1	9	0	1	0	1
0	1	1	0	23	0	0	12	0	1	0	1
8.47216	1	1	0	32	0	1	11	0	1	0	1
2.16402	1	1	0	22	0	0	16	0	1	0	1
12.4181	1	0	0	33	1	0	12	0	1	0	1
8.17391	1	1	0	19	0	1	9	0	1	0	1
17.0946	1	1	0	21	0	0	13	0	1	0	1
0	1	1	0	18	0	1	8	0	1	0	1
18.7399	1	1	0	27	1	1	10	0	1	0	1
3.02388	1	1	0	17	0	1	7	0	1	0	1
3.2285	1	1	0	19	0	1	10	0	1	0	1
14.5819	1	1	0	27	0	0	13	0	1	0	1
7.6934	1	1	0	23	0	1	10	0	1	0	1
10.8043	1	1	0	40	0	0	12	0	1	0	1
10.7474	1	1	0	26	0	0	12	0	1	0	1
0	1	1	0	23	0	1	11	0	1	0	1
5.1495	1	0	0	41	0	0	14	0	1	0	1
6.40895	1	0	0	38	0	1	9	0	1	0	1
1.9914	1	1	0	24	0	1	11	0	1	0	1
11.1632	1	1	0	18	0	1	10	0	1	0	1
9.643	1	1	0	29	1	1	11	0	1	0	1
9.89705	1	1	0	25	0	1	11	0	1	0	1
11.1429	1	0	1	27	0	1	10	0	1	0	1
16.218	1	1	0	17	0	1	10	0	1	0	1
.9957	1	1	0	24	0	1	11	0	1	0	1
0	1	1	0	17	0	1	10	0	1	0	1
6.55159	1	1	0	48	0	1	4	0	1	0	1
1.57442	1	1	0	25	1	1	11	0	1	0	1
0	1	1	0	20	0	0	12	0	1	0	1
3.19175	1	1	0	25	0	0	12	0	1	0	1
20.5059	1	1	0	42	0	0	14	0	1	0	1
6.18188	1	1	0	25	0	1	5	0	1	0	1
5.91155	1	1	0	23	1	0	12	0	1	0	1
3.09416	1	1	0	46	1	1	8	0	1	0	1
0	1	1	0	24	0	1	10	0	1	0	1
1.25458	1	1	0	21	0	0	12	0	1	0	1
13.1888	1	0	0	19	0	1	9	0	1	0	1
8.06149	1	1	0	17	0	1	8	0	1	0	1
2.78796	1	0	1	18	1	1	8	0	1	0	1
3.97254	1	1	0	20	0	1	11	0	1	0	1
0	1	1	0	25	1	1	11	0	1	0	1
0	1	1	0	17	0	1	8	0	1	0	1
0	1	1	0	17	0	1	9	0	1	0	1
12.1874	1	1	0	25	0	1	5	0	1	0	1
4.84318	1	1	0	23	0	0	12	0	1	0	1
0	1	1	0	28	0	1	8	0	1	0	1
8.08749	1	1	0	31	1	1	11	0	1	0	1
0	1	1	0	18	0	1	11	0	1	0	1
2.34897	1	1	0	25	0	0	12	0	1	0	1
.590782	1	1	0	30	1	1	11	0	1	0	1
0	1	1	0	17	0	1	10	0	1	0	1
1.06751	1	1	0	37	0	1	9	0	1	0	1
7.28499	1	1	0	41	1	1	4	0	1	0	1
13.1675	1	1	0	42	1	0	14	0	1	0	1
1.04843	1	0	0	22	0	1	11	0	1	0	1
0	1	1	0	17	0	1	8	0	1	0	1
1.92394	1	1	0	29	0	1	8	0	1	0	1
4.66624	1	1	0	35	0	1	10	0	1	0	1
.549298	1	1	0	27	0	1	11	0	1	0	1
.762915	1	1	0	29	0	1	4	0	1	0	1
10.6943	1	1	0	28	0	1	9	0	1	0	1
0	1	1	0	27	0	1	11	0	1	0	1
0	1	0	0	23	0	1	7	0	1	0	1
8.54672	1	1	0	45	1	1	5	0	1	0	1
7.47966	1	1	0	29	0	0	13	0	1	0	1
0	1	1	0	27	0	1	9	0	1	0	1
.647205	1	1	0	46	0	0	13	0	1	0	1
0	1	1	0	18	0	1	6	0	1	0	1
11.9658	1	1	0	25	0	0	12	0	1	0	1
9.59854	1	1	0	28	0	0	15	0	1	0	1
18.7834	1	0	0	25	0	1	11	0	1	0	1
18.6781	1	1	0	22	0	0	12	0	1	0	1
0	1	1	0	21	0	1	9	0	1	0	1
23.0056	1	1	0	40	0	1	11	0	1	0	1
6.4567	1	1	0	22	0	1	11	0	1	0	1
0	1	1	0	25	0	0	12	0	1	0	1
2.32111	1	1	0	18	0	0	12	0	1	0	1
4.94185	1	0	0	38	0	0	12	0	1	0	1
0	1	1	0	27	0	0	13	0	1	0	1
0	1	1	0	27	0	1	8	0	1	0	1
0	1	1	0	38	0	1	11	0	1	0	1
3.88128	1	0	1	23	0	1	8	0	1	0	1
17.231	1	1	0	26	0	1	11	0	1	0	1
8.0486	1	0	0	21	0	0	12	0	1	0	1
0	1	1	0	25	0	1	8	0	1	0	1
14.5099	1	1	0	31	1	1	11	0	1	0	1
0	1	1	0	17	0	1	10	0	1	0	1
0	1	1	0	25	0	1	11	0	1	0	1
9.98378	1	1	0	21	0	0	12	0	1	0	1
0	1	1	0	44	0	1	11	0	1	0	1
5.5875	1	0	0	25	0	0	12	0	1	0	1
4.48285	1	1	0	18	0	1	9	0	1	0	1
2.45615	1	1	0	42	0	0	12	0	1	0	1
0	1	1	0	25	0	1	10	0	1	0	1
26.8176	1	0	1	31	0	1	9	0	1	0	1
0	1	1	0	24	0	1	10	0	1	0	1
9.26579	1	1	0	26	0	1	10	0	1	0	1
.48523	1	1	0	25	0	1	11	0	1	0	1
4.81463	1	1	0	18	0	1	11	0	1	0	1
7.45811	1	1	0	19	0	1	11	0	1	0	1
0	1	1	0	43	0	1	9	0	1	0	1
34.0993	1	1	0	27	0	0	13	0	1	0	1
1.95327	1	1	0	17	0	1	9	0	1	0	1
0	1	1	0	30	0	1	11	0	1	0	1
0	1	1	0	26	1	1	10	2.028	0	0	1
8.88167	1	1	0	20	0	1	9	6.08399	0	0	1
6.21067	1	0	1	17	0	1	9	.44517	0	.0743435	0
0	1	1	0	20	0	0	12	.989268	0	.165208	0
.929884	1	1	0	18	0	1	11	.858254	0	.214564	0
0	1	1	0	27	1	0	12	3.67087	0	.334049	0
12.558	1	0	0	21	0	0	12	3.67087	0	.334049	0
22.1633	1	1	0	27	0	0	12	2.14341	0	.35795	0
1.65264	1	1	0	20	0	0	12	0	1	.377569	0
8.124721	1	1	0	19	0	1	10	0	1	.385274	0
.6713319	1	1	0	23	0	0	12	5.50631	0	.501074	0
17.815	1	1	0	29	0	0	14	0	1	.679673	0
9.73715	1	1	0	18	0	1	10	0	1	.798908	0
17.6852	1	1	0	19	0	1	9	0	1	.798908	0
0	1	0	0	27	1	0	13	9.38157	0	.853723	0
4.32171	1	0	0	18	0	1	11	3.67823	0	.919558	0
1.77342	1	1	0	27	1	1	9	0	1	.934445	0
0	1	1	0	22	0	0	12	5.60585	0	.936177	0
11.2333	1	1	0	23	1	1	10	0	1	.936439	0
.559443	1	0	1	23	0	0	12	9.38574	0	1.11744	0
1.08544	1	1	0	20	0	1	11	3.6375	0	1.22084	0
5.4452	1	1	0	17	0	1	9	1.71651	0	1.25344	0
60.3079	1	1	0	28	0	1	11	0	1	1.28408	0
1.46036	1	1	0	26	1	1	11	0	1	1.39285	0
6.94334	1	1	0	20	0	1	11	16.3186	0	1.48499	0
4.03271	1	1	0	24	1	1	11	.824389	0	1.66611	0
10.3633	1	1	0	31	0	1	9	0	1	1.69861	0
4.23231	1	0	0	23	1	1	8	0	1	1.71315	0
11.1414	1	1	0	18	0	1	10	2.14341	0	1.78427	0
0	1	1	0	29	0	0	12	10.8819	0	1.81728	0
13.3859	1	0	0	26	0	1	11	0	1	2.22627	0
4.84956	1	1	0	24	0	1	9	9.1547	0	2.28868	0
0	1	1	0	25	0	0	12	14.4268	0	2.40927	0
1.66051	1	1	0	24	0	1	10	4.2504	0	2.42195	0
0	1	1	0	46	0	1	8	3.16566	0	2.59472	0
2.48455	1	0	0	31	0	0	12	0	1	2.61122	0
4.1466	1	1	0	19	0	1	11	2.30503	0	2.61528	0
9.970679	1	1	0	19	0	1	8	0	1	2.65706	0
0	1	1	0	27	0	1	11	2.20694	0	2.66627	0
26.3723	1	1	0	26	1	1	11	0	1	2.75465	0
5.61519	1	1	0	20	0	1	10	5.00573	0	2.77736	0
3.19657	1	1	0	28	0	1	10	0	1	2.83651	0
6.16768	1	1	0	24	0	0	12	13.7658	0	2.84276	0
7.53594	1	1	0	19	0	1	8	2.63635	0	2.93726	0
8.484241	1	1	0	23	0	0	12	6.26934	0	3.03996	0
1.29441	1	1	0	42	1	1	9	0	1	3.05853	0
0	1	1	0	25	0	0	13	12.3629	0	3.09073	0
5.01034	1	1	0	18	0	1	9	0	1	3.28738	0
9.37104	1	1	0	21	0	0	12	6.47368	0	3.33241	0
0	1	1	0	27	0	1	10	1.00115	0	3.55008	0
4.27961	1	1	0	21	0	1	8	.989268	0	3.6959	0
3.46256	1	1	0	22	0	1	9	2.19288	0	3.83699	0
7.38255	1	1	0	31	0	1	4	8.51759	0	4.02321	0
0	1	1	0	24	1	1	10	11.7032	0	4.07815	0
0	1	1	0	29	0	1	10	0	1	4.39895	0
10.9765	1	1	0	29	0	0	12	9.748389	0	4.87894	0
13.8296	1	0	0	19	0	1	10	0	1	5.32411	0
6.78846	1	0	1	19	1	1	11	5.42449	0	5.4638	0
9.5585	1	1	0	31	0	1	9	10.717	0	5.51784	0
13.2283	1	1	0	22	1	1	10	1.46835	0	5.58866	0
.743667	1	1	0	21	0	1	9	6.41647	0	5.74933	0
5.52279	1	1	0	17	0	1	10	1.29147	0	5.79385	0
1.42494	1	1	0	26	1	0	12	8.40876	0	5.79483	0
1.35864	1	0	1	20	0	1	9	12.2608	0	5.87505	0
0	1	1	0	19	0	1	10	4.12195	0	6.05675	0
.672877	1	1	0	26	0	1	10	25.9297	0	6.78896	0
0	1	1	0	28	0	1	11	1.92903	0	6.87186	0
10.0928	1	0	1	22	1	0	12	.492231	0	7.0557	0
6.28143	1	1	0	33	0	1	11	0	1	7.86792	0
12.5907	1	0	0	22	0	0	12	6.75999	0	8.4555	0
5.11201	1	0	1	29	0	1	10	0	1	8.85367	0
15.9526	1	1	0	33	1	0	12	20.28	0	10.9414	0
36.647	1	1	0	25	1	0	14	35.0401	0	11.5366	0
12.804	1	1	0	35	1	1	9	13.6024	0	13.8306	0
3.78663	1	1	0	35	1	1	8	13.7321	0	17.9762	0
4.18194	1	1	0	33	1	1	11	14.6607	0	25.1422	0
0	0	1	0	23	0	1	10	0	1	0	1
12.3837	0	0	0	26	0	0	12	0	1	0	1
0	0	1	0	22	0	1	9	0	1	0	1
10.7401	0	1	0	18	0	1	9	0	1	0	1
11.7965	0	1	0	45	0	1	11	0	1	0	1
9.22705	0	1	0	18	0	1	9	0	1	0	1
10.5693	0	0	0	24	0	1	8	0	1	0	1
6.04034	0	1	0	34	1	1	11	0	1	0	1
3.88083	0	0	1	24	0	1	4	0	1	0	1
0	0	1	0	36	0	1	10	0	1	0	1
5.77506	0	1	0	21	0	0	14	0	1	0	1
0	0	1	0	28	0	1	9	0	1	0	1
0	0	1	0	27	1	1	7	0	1	0	1
0	0	0	0	19	0	1	11	0	1	0	1
0	0	1	0	20	0	1	8	0	1	0	1
2.11372	0	1	0	34	0	0	12	0	1	0	1
7.61864	0	1	0	24	0	1	10	0	1	0	1
9.92095	0	0	1	22	0	1	8	0	1	0	1
4.19638	0	1	0	25	0	1	11	0	1	0	1
0	0	1	0	39	0	1	9	0	1	0	1
16.6583	0	1	0	19	1	1	9	0	1	0	1
9.722	0	1	0	44	0	1	9	0	1	0	1
3.78366	0	1	0	27	0	1	8	0	1	0	1
3.51593	0	1	0	25	0	1	8	0	1	0	1
17.0146	0	1	0	31	0	1	10	0	1	0	1
0	0	1	0	34	1	1	10	0	1	0	1
0	0	0	1	21	0	1	7	0	1	0	1
5.97026	0	1	0	33	0	0	12	0	1	0	1
1.85917	0	0	1	18	0	1	10	0	1	0	1
6.19194	0	1	0	26	1	0	12	0	1	0	1
7.28439	0	1	0	31	0	0	12	0	1	0	1
.445831	0	1	0	35	0	1	10	0	1	0	1
0	0	1	0	20	0	0	12	0	1	0	1
0	0	1	0	25	0	1	11	0	1	0	1
7.36704	0	1	0	25	0	1	10	0	1	0	1
0	0	1	0	35	0	1	11	0	1	0	1
2.0155	0	1	0	20	0	1	10	0	1	0	1
15.7911	0	0	1	25	0	1	9	0	1	0	1
1.13547	0	1	0	27	0	1	10	0	1	0	1
6.37872	0	0	1	20	0	1	11	0	1	0	1
7.17619	0	1	0	26	0	1	11	0	1	0	1
0	0	1	0	38	0	1	8	0	1	0	1
7.95254	0	1	0	34	0	1	10	0	1	0	1
0	0	1	0	19	0	0	12	0	1	0	1
7.15213	0	1	0	32	0	1	8	0	1	0	1
8.329821	0	0	1	20	0	1	9	0	1	0	1
0	0	1	0	23	0	1	10	0	1	0	1
12.4299	0	1	0	38	0	1	10	0	1	0	1
0	0	1	0	24	0	1	11	0	1	0	1
5.08876	0	1	0	23	0	1	11	0	1	0	1
4.37404	0	0	1	20	0	1	7	0	1	0	1
1.55329	0	1	0	21	0	1	11	0	1	0	1
0	0	1	0	25	0	1	10	0	1	0	1
1.6983	0	1	0	22	1	1	11	0	1	0	1
0	0	1	0	23	0	1	11	0	1	0	1
11.2946	0	0	0	24	0	0	12	0	1	0	1
0	0	1	0	29	0	1	11	0	1	0	1
14.6264	0	1	0	24	0	1	11	0	1	0	1
12.8984	0	1	0	22	0	1	9	0	1	0	1
5.76713	0	1	0	28	0	1	11	0	1	0	1
6.52792	0	0	1	18	0	1	10	0	1	0	1
3.93124	0	1	0	26	0	1	10	0	1	0	1
20.9422	0	1	0	25	0	1	10	0	1	0	1
0	0	1	0	24	0	1	10	0	1	0	1
0	0	1	0	26	0	1	5	0	1	0	1
14.6904	0	1	0	36	0	1	10	0	1	0	1
0	0	1	0	22	0	1	11	0	1	0	1
3.4181	0	1	0	25	0	0	12	0	1	0	1
11.1973	0	1	0	27	0	1	11	0	1	0	1
0	0	1	0	29	0	1	8	0	1	0	1
0	0	1	0	24	0	0	12	0	1	0	1
0	0	1	0	22	0	1	10	0	1	0	1
1.45569	0	1	0	24	0	1	7	0	1	0	1
1.89094	0	1	0	29	0	0	12	0	1	0	1
4.48562	0	0	1	25	1	1	11	0	1	0	1
13.6134	0	1	0	30	0	0	12	0	1	0	1
1.39051	0	1	0	22	0	1	8	0	1	0	1
